date,text,compound,positive,negative,neutral,source,sentiment
2021-04-16 15:28:48+00:00,"Apple Music is telling artists that it will start paying them one cent per stream, per a Friday report from the Wall Street Journal.
The company told artists the news in a letter, which was viewed b… [+1941 chars]",0.0,0.0,0.0,1.0,StockNews.com,0
2021-04-17 11:07:00+00:00,"Since the Apple Car rumor mill fired back up again a few months ago, the renewed notion that Cupertino might actually, seriously, for reals be thinking about building an actual, serious for reals veh… [+5264 chars]",-0.6808,0.0,0.171,0.829,StockNews.com,0
2021-04-20 21:52:31+00:00,"Apple's iPad Pro has always seemed like an alternative to the laptop. After all, it has a laptop-sized screen, it's designed to work best with a keyboard, and it now supports trackpad input.
But the… [+3922 chars]",0.6249,0.16,0.0,0.84,9to5Mac,1
2021-04-21 11:19:42+00:00,"Apple’s Spring Loaded event was a fast-paced one with plenty of good news, but it wasn’t enough to reverse an AAPL fall seen on the day, and continuing into after-market trading.
The day saw AAPL fa… [+2637 chars]",0.2382,0.051,0.0,0.949,9to5Mac,1
2021-04-24 19:04:24+00:00,"New York (CNN Business)Investors are getting ready to reposition their portfolios for the post-pandemic world. That means moving money out of big tech, which did amazingly well in the work-from-home … [+2394 chars]",0.5984,0.14,0.0,0.86,CNN,1
2021-04-27 08:38:00+00:00,"Apple Inc (NASDAQ: AAPL) CEO Tim Cook warned his Facebook Inc (NASDAQ: FB) counterpart to delete third-party data about users in 2019, The New York Times reported Monday.
What Happened: The conversa… [+2098 chars]",-0.2732,0.0,0.06,0.94,Benzinga,0
2021-04-27 12:02:04+00:00,"Tomorrow will reveal AAPL Q2 2021 earnings for Apple’s fiscal Q2/calendar Q1. Apple is known to have continued to benefit from the continued boost in spending on technology during the pandemic, and a… [+2188 chars]",0.6908,0.147,0.0,0.853,9to5Mac,1
2021-04-28 12:00:00+00:00,"Apple CEO Tim Cook.
Karl Mondon/Digital First Media/The Mercury News via Getty Images
Apple will report its fiscal second-quarter earnings after the market closes on Wednesday, and all eyes will be… [+4554 chars]",0.0,0.0,0.0,1.0,Business Insider,0
2021-04-28 14:29:27+00:00,"Apple is dialing back production of its AirPods as sales dip amid increasing competition in the wireless 
 Bluetooth headphones market, according to a report from Nikkei Asia.
Production will be sl… [+1739 chars]",0.0,0.0,0.0,1.0,StockNews.com,0
2021-04-28 20:33:46+00:00,"Apple (AAPL) has officially reported its earnings for fiscal Q2 2021, covering the months of January, February, and March. For the quarter, Apple reported $89.6 billion in revenue and profit of $23.6… [+3322 chars]",0.4404,0.081,0.0,0.919,AppleInsider,1
2021-04-29 08:43:00+00:00,"Apple Inc. (NASDAQ: AAPL) will remain a growth story for the foreseeable future despite fluctuations in growth rates, according to Loup Ventures analyst Gene Munster.
What Happened: In a research no… [+3202 chars]",0.6369,0.152,0.0,0.848,9to5Mac,1
2021-04-29 13:46:19+00:00,"AAPL was up almost 3% in pre-market trading, following the company’s blockbuster earnings report for calendar Q1/fiscal Q2. The boost was short-lived, however, quickly falling to less than 1% at the … [+2261 chars]",0.7184,0.173,0.042,0.785,Entrepreneur,1
2021-04-29 15:45:29+00:00,"Cowen and Company has raised its Apple stock price target to $180 and has revised its Apple estimates upwards across the board after the company's Q2 2021 earnings beat.
In a note to investors seen … [+1912 chars]",0.0,0.0,0.0,1.0,9to5Mac,0
2021-04-29 16:27:39+00:00,"Apple is set to outperform its 
 FAANG stock competition in 2021, according to Loup Ventures' Gene Munster.
In an interview with CNBC on Thursday, Munster discussed the recent big tech earnings sea… [+1770 chars]",0.0,0.0,0.0,1.0,AppleInsider,0
2021-04-29 17:44:41+00:00,"Wedbush has raised its AAPL price target to $185 after Apple reported ""drop the mic"" March quarter earning results that the bank says backs up its iPhone 12 ""supercycle"" thesis.
In a note to investo… [+1867 chars]",-0.3182,0.0,0.088,0.912,9to5Mac,0
2021-05-02 19:56:50+00:00,"Back in February, Warren Buffetts Berkshire Hathaway revealed that it sold 9.81 million shares of AAPL at the end of 2020. Speaking during the conglomerates annual shareholder meeting this weekend, h… [+2080 chars]",0.296,0.064,0.0,0.936,9to5Mac,1
2021-05-04 01:54:37+00:00,"(CNN Business)Epic Games and Apple kicked off their high-profile trial on Monday, beginning a legal battle that is expected to run for at least two weeks and has the potential to change not only the … [+4092 chars]",-0.2732,0.039,0.068,0.892,Benzinga,0
2021-05-04 12:31:10+00:00,"AAPL stock buybacks in which the company buys back its own shares will help protect the US equities market as a whole, according to an equity research firm.
Apple announced a major increase in its s… [+2676 chars]",0.8316,0.234,0.0,0.766,9to5Mac,1
2021-05-06 20:10:09+00:00,"Traders work on the floor at the New York Stock Exchange.
Brendan McDermid/Reuters
The Dow Jones Industrial Average notched a new record high Thursday as stocks pegged to the reopening of the econo… [+2199 chars]",0.0,0.0,0.0,1.0,Investorplace.com,0
