,compound,positive,negative,neutral,sentiment,Open,High,Low,Close,Adj Close,Volume,prev_close,Daily_returns,RSI
2021-04-23,0.2382,0.051,0.0,0.949,1.0,132.160004,135.119995,132.160004,134.320007,134.092239,78657500,131.716278,0.01803847661106861,51.18695581417296
2021-04-26,0.2382,0.051,0.0,0.949,1.0,134.830002,135.059998,133.559998,134.720001,134.491562,66905100,134.092239,0.0029779724984677625,49.071321855076725
2021-04-27,0.20879999999999999,0.0735,0.03,0.8965,0.5,135.009995,135.410004,134.110001,134.389999,134.162109,66015800,134.491562,-0.002449618363418171,62.64811711902877
2021-04-28,0.1468,0.027,0.0,0.973,0.3333333333333333,134.309998,135.020004,133.080002,133.580002,133.353485,107760100,134.162109,-0.006027215925772156,50.729924338805525
2021-04-29,0.20742000000000002,0.06499999999999999,0.026000000000000002,0.909,0.4,136.470001,137.070007,132.449997,133.479996,133.253662,151101000,133.353485,-0.0007485593646091582,69.15416786272452
2021-04-30,0.20742000000000002,0.06499999999999999,0.026000000000000002,0.909,0.4,131.779999,133.559998,131.070007,131.460007,131.237091,109839500,133.253662,-0.015133325191468261,10.928995997037164
2021-05-03,0.20742000000000002,0.06499999999999999,0.026000000000000002,0.909,0.4,132.039993,134.070007,131.830002,132.539993,132.315247,75135100,131.237091,0.008215329917667935,24.88457926334316
2021-05-04,0.2792,0.1365,0.034,0.829,0.5,131.190002,131.490005,126.699997,127.849998,127.633202,137564700,132.315247,-0.03538552892547597,12.413688129222848
2021-05-05,0.2792,0.1365,0.034,0.829,0.5,129.199997,130.449997,127.970001,128.100006,127.88279,84000900,127.633202,0.0019555099777250895,16.339085644514853
2021-05-06,0.0,0.0,0.0,1.0,0.0,127.889999,129.75,127.129997,129.740005,129.520004,78128300,127.88279,0.012802457625455288,30.681795368877047
2021-05-07,0.0,0.0,0.0,1.0,0.0,130.850006,131.259995,129.479996,130.210007,130.210007,78973300,129.520004,0.005327385567406084,43.84021074232162
2021-05-10,-0.36755,0.0,0.094,0.906,0.0,129.410004,129.539993,126.809998,126.849998,126.849998,88071200,130.210007,-0.025804537434668817,24.266307707824325
2021-05-11,0.3818,0.077,0.0,0.923,1.0,123.5,126.269997,122.769997,125.910004,125.910004,126142800,126.849998,-0.007410279974935374,37.4709458225386
2021-05-12,0.3818,0.077,0.0,0.923,1.0,123.400002,124.639999,122.25,122.769997,122.769997,112172300,125.910004,-0.024938502900849646,23.826793418439
2021-05-13,0.3818,0.077,0.0,0.923,1.0,124.580002,126.150002,124.260002,124.970001,124.970001,105861300,122.769997,0.01791972023913946,27.97678842154849
2021-05-14,0.3818,0.077,0.0,0.923,1.0,126.25,127.889999,125.849998,127.449997,127.449997,81918000,124.970001,0.019844730576580538,38.6138295265433
2021-05-17,-0.3753,0.044,0.082,0.874,0.0,126.82,126.93,125.169998,126.269997,126.269997,74244600,127.449997,-0.009258532975877531,47.08249023314988
2021-05-18,0.807,0.186,0.0,0.814,1.0,126.559998,126.989998,124.779999,124.849998,124.849998,63342900,126.269997,-0.01124573559623987,44.91360177719666
2021-05-19,0.807,0.186,0.0,0.814,1.0,123.160004,124.919998,122.860001,124.690002,124.690002,92612000,124.849998,-0.001281505827496976,62.90326808015333
2021-05-20,0.0,0.0,0.0,1.0,0.0,125.230003,127.720001,125.099998,127.309998,127.309998,76857100,124.690002,0.021012077616294977,64.88550171902322
2021-05-21,0.4019,0.083,0.0,0.917,1.0,127.82,128.0,125.209999,125.43,125.43,79295400,127.309998,-0.014767088441867582,36.08815385257471
2021-05-24,0.44094999999999995,0.0965,0.0,0.9035,1.0,126.010002,127.940002,125.940002,127.099998,127.099998,63092900,125.43,0.013314183209758301,55.35485414362631
2021-05-25,0.44094999999999995,0.0965,0.0,0.9035,1.0,127.82,128.320007,126.32,126.900002,126.900002,72009500,127.099998,-0.0015735326762160717,65.69685316227432
2021-05-26,0.44094999999999995,0.0965,0.0,0.9035,1.0,126.959999,127.389999,126.419998,126.849998,126.849998,56575900,126.900002,-0.0003940425469811659,66.82241971641089
2021-05-27,0.44094999999999995,0.0965,0.0,0.9035,1.0,126.440002,127.639999,125.080002,125.279999,125.279999,94625600,126.849998,-0.012376815331128332,31.098688173825124
2021-05-28,0.44094999999999995,0.0965,0.0,0.9035,1.0,125.57,125.800003,124.550003,124.610001,124.610001,71311100,125.279999,-0.005348004512675697,40.14423094258514
2021-06-01,0.1027,0.046,0.036,0.918,1.0,125.080002,125.349998,123.940002,124.279999,124.279999,67637100,124.610001,-0.002648278608070931,0.0
2021-06-02,0.1027,0.046,0.036,0.918,1.0,124.279999,125.239998,124.050003,125.059998,125.059998,59278900,124.279999,0.006276142631768122,22.941133564038864
2021-06-03,0.1027,0.046,0.036,0.918,1.0,124.68,124.849998,123.129997,123.540001,123.540001,76229200,125.059998,-0.012154142206207252,16.0164230148079
2021-06-04,0.1027,0.046,0.036,0.918,1.0,124.07,126.160004,123.849998,125.889999,125.889999,75169300,123.540001,0.019022162708255186,55.3982358211354
2021-06-07,0.1027,0.046,0.036,0.918,1.0,126.169998,126.32,124.830002,125.900002,125.900002,71057600,125.889999,7.945825783983729e-05,62.925864313800574
2021-06-08,0.1027,0.046,0.036,0.918,1.0,126.599998,128.460007,126.209999,126.739998,126.739998,74403800,125.900002,0.006671929997268844,72.3636557355619
2021-06-09,0.1027,0.046,0.036,0.918,1.0,127.209999,127.75,126.519997,127.129997,127.129997,56877900,126.739998,0.003077158009739067,70.2544210921621
2021-06-10,0.1027,0.046,0.036,0.918,1.0,127.019997,128.190002,125.940002,126.110001,126.110001,71186400,127.129997,-0.008023251978838686,77.8742349227503
2021-06-11,0.1027,0.046,0.036,0.918,1.0,126.529999,127.440002,126.099998,127.349998,127.349998,53522400,126.110001,0.00983266188381049,70.8571822041827
2021-06-14,0.435975,0.10749999999999998,0.0,0.8925,1.0,127.82,130.539993,127.07,130.479996,130.479996,96906500,127.349998,0.024577919506524104,84.59217285353769
2021-06-15,0.435975,0.10749999999999998,0.0,0.8925,1.0,129.940002,130.600006,129.389999,129.639999,129.639999,62746300,130.479996,-0.006437745445669774,71.90337382837745
2021-06-16,0.435975,0.10749999999999998,0.0,0.8925,1.0,130.369995,130.889999,128.460007,130.149994,130.149994,91815000,129.639999,0.003933932458608069,72.40359508325153
2021-06-17,0.435975,0.10749999999999998,0.0,0.8925,1.0,129.800003,132.550003,129.649994,131.789993,131.789993,96721700,130.149994,0.012600838076104903,88.58697557305126
2021-06-18,0.435975,0.10749999999999998,0.0,0.8925,1.0,130.710007,131.509995,130.240005,130.460007,130.460007,108953300,131.789993,-0.0100917070387887,70.8726136664886
2021-06-21,0.435975,0.10749999999999998,0.0,0.8925,1.0,130.300003,132.410004,129.210007,132.300003,132.300003,79663300,130.460007,0.014103908487449468,64.77284884203215
2021-06-22,0.435975,0.10749999999999998,0.0,0.8925,1.0,132.130005,134.080002,131.619995,133.979996,133.979996,74783600,132.300003,0.01269835950041509,81.0001158576558
2021-06-23,0.435975,0.10749999999999998,0.0,0.8925,1.0,133.770004,134.320007,133.229996,133.699997,133.699997,60214200,133.979996,-0.002089856757422237,76.21873824312134
2021-06-24,0.5719,0.194,0.097,0.709,1.0,134.449997,134.639999,132.929993,133.410004,133.410004,68711000,133.699997,-0.0021689828459757754,64.94484191508883
2021-06-25,0.5719,0.194,0.097,0.709,1.0,133.460007,133.889999,132.809998,133.110001,133.110001,70783700,133.410004,-0.002248729413125372,80.18227401284403
